無錫新派	
#ɿ	
ts	①□{靠得很近（得看），凑（近）：看电视个辰光覅～得忒近}兹滋姿资咨淄③紫子籽姊滓梓仔⑤渍□{粘糊，不爽：汗~}
tsʰ	①雌差1{参差}疵眵③齿此⑤刺赐次厕伺
s	①撕丝私咝师思司嘶狮蛳③死屎使史驶矢⑤四肆驷泗
z	②辞词瓷磁慈祠时{又，几时}⑥字誓自示视寺侍饲④是士□{容易入耳：一听见去KFC，佗耳朵里～得来一记}氏似柿巳仕
#ʮ	
ts	①支枝株朱猪珠□{吸食：盒子里的牛奶～～清爽}蛛诛知肢栀脂之芝③主纸指嘴拄止1{禁止，不止两介}旨址脂渚⑤注蛀痣炷驻铸至置志智挚致制
tsʰ	①痴吹③鼠处1{~理}侈耻⑤处2{单位处所}□{不滑，不爽：伊种汏头膏汏得头发～到}翅
s	①书诗输舒枢抒疏③暑始水⑤试世势
z	②除橱池储锄厨殊如驰迟持时槌⑥树住稚治箸④竖市柱□{（快速地）走，有贬义：佗～上去就是一拳头}痔乳儒止2{止痛}恃
#i̻	
p	①屄③比彼鄙⑤闭臂泌蔽秘1{~鲁}庇篦1{蓖麻}
pʰ	①批披𠜱{用刀平切（肉）：胖肉多~落一点}□{（使）想明白，想通：碰着弗开心个事体，你就～拨佗听听}砒丕坯③痞⑤屁譬{~如}媲
b	②皮疲脾琵枇啤⑥避弊币鐾{摩擦：~洋煝头}被篦2{梳篦}痹毙④陛
m	①眯咪☐{打盹：中午头～着十分钟}渳{稍微喝一点儿，常：（老酒）拨我～两口}②迷谜醚弥靡糜眉-⑥味-{~道}秘2{密}泌④米
f	①飞非妃③匪翡榧⑤废肺费
v	②肥唯维惟薇微-{~波炉}⑥味={～精}
t	①低堤③底抵⑤帝蒂谛
tʰ	①梯③体⑤替剃涕屉嚏
d	②提题蹄啼⑥地第递缔④弟
l	②梨离犁黎璃篱厘蠡鹇⑥利☐{干，（让水）滴干}☐{拖延}丽荔例厉励隶莉虑屡滤泪吏④李礼里理吕铝锂旅缕厘鲤里姆
ts	①祭③济1{济南}挤⑤剂际鲫济2{救～金}
tsʰ	①蛆妻趋凄③取娶⑤砌趣
s	①西胥须需犀③洗徙⑤细婿絮
z	②徐齐脐④聚序绪叙荠
tɕ	①鸡机饥肌基几1{茶~}奇{～数}讥畸箕稽③几2{几化}己纪⑤记计寄季继髻冀既
tɕʰ	①欺③起启企杞岂⑤去气汽契器弃
dʑ	②奇骑棋旗歧祁其麒琪鳍畦⑥忌④技妓
ȵ	②倪泥{1.粘稠：粥烧得～到。2.（脾气）不爽快：伊个人买东西蛮～个。}抳{搓，来回摩擦：覅用手～眼睛；～席}尼霓宜疑儿-⑥二-贰-腻毅艺④你拟尾-
ɕ	①溪隙稀嘻熙牺嬉蟋熹奚兮⑤喜
	①依医衣伊③椅倚⑤意②移仪姨遗颐怡⑥义亿系1{中文～}谊议易异裔忆④以已
#uᵝ	
p	①疤-巴-笆-③把⑤坝-霸-靶-
pʰ	⑤怕-
b	②爬扒{1.努力地做事以赚钱：佗长得虽然不好看，但不过蛮会～钞票个。2.操持：佗竟会～个，屋子里拨佗收作得竟清爽个。3.掏：～耳朵}粑琶-杷
m	②麻⑥骂④马-玛-码
k	①瓜-箍姑狐估咕诂菇辜③古股鼓蛊⑤嫁-雇顾卦-挂-故固
kʰ	①枯骷窟③苦⑤跨库裤
g	④☐{因不满而小声嘀咕}
x	①花-呼③虎浒琥⑤化-☐{1.拉（lá），划伤，列开：写字台娘～着条路。2.掀，揭：拿镬子㔶盖头～开点}
