小韻號	小韻細分	首字	反切	聲母	呼	等	重紐	韻（平賅上去入）	韻（平賅上去）	聲調	攝	廣韻韻目	平水韻目	切韻拼音	古韻羅馬字	有女羅馬字	白一平轉寫	unt切韻擬音L	unt切韻擬音J	msoeg中古擬音V8
1		東	德紅	端		一		東	東	平	通	上平聲1東	上平聲1東	toung	tung	tung	tuwng	tuɴ	tuɴ	tᵒuɴ
2		同	徒紅	定		一		東	東	平	通	上平聲1東	上平聲1東	doung	dung	dung	duwng	duɴ	duɴ	dᵒuɴ
3		中	陟弓	知		三		東	東	平	通	上平聲1東	上平聲1東	trung	triung	tiung	trjuwng	ʈuɴ	ʈuɴ	ʈuɴ
4		蟲	直弓	澄		三		東	東	平	通	上平聲1東	上平聲1東	drung	driung	diung	drjuwng	ɖuɴ	ɖuɴ	ɖuɴ
5		終	職戎	章		三		東	東	平	通	上平聲1東	上平聲1東	tjung	cjung	tjung	tsyuwng	tɕuɴ	tɕuɴ	tçuɴ
6		忡	敕中	徹		三		東	東	平	通	上平聲1東	上平聲1東	trhung	thriung	thiung	trhjuwng	ʈʰuɴ	ʈʰuɴ	ʈʰuɴ
7		崇	鋤弓	崇		三		東	東	平	通	上平聲1東	上平聲1東	dzrung	zriung	drung	dzrjuwng	dʐuɴ	dʐuɴ	dʐɻuɴ
8		嵩	息弓	心		三		東	東	平	通	上平聲1東	上平聲1東	sung	siung	siung	sjuwng	sjuɴ	sɹuɴ	suɴ
9		戎	如融	日		三		東	東	平	通	上平聲1東	上平聲1東	njung	njung	rung	nyuwng	ɲuɴ	ɲuɴ	ɲuɴ
10		弓	居戎	見		三		東	東	平	通	上平聲1東	上平聲1東	kung	kiung	kiung	kjuwng	kuɴ	kj̈uɴ	kuɴ
11		融	以戎	以		三		東	東	平	通	上平聲1東	上平聲1東	jung	jung	jung	yuwng	juɴ	juɴ	ɥuɴ
12		雄	羽弓	云		三		東	東	平	通	上平聲1東	上平聲1東	ung	iung	hiung	hjuwng	wuɴ	wuɴ	wuɴ
13		瞢	莫中	明		三		東	東	平	通	上平聲1東	上平聲1東	mung	miung	miung	mjuwng	muɴ	mβuɴ	muɴ
14		穹	去宮	溪		三		東	東	平	通	上平聲1東	上平聲1東	khung	khiung	qiung	khjuwng	kʰuɴ	kʰj̈uɴ	kʰuɴ
15		窮	渠弓	羣		三		東	東	平	通	上平聲1東	上平聲1東	gung	giung	giung	gjuwng	ɡuɴ	ɡj̈uɴ	ɡuɴ
16		馮	房戎	並		三		東	東	平	通	上平聲1東	上平聲1東	bung	biung	biung	bjuwng	buɴ	bβuɴ	buɴ
17		風	方戎	幫		三		東	東	平	通	上平聲1東	上平聲1東	pung	piung	piung	pjuwng	puɴ	pβuɴ	puɴ
18		豐	敷空	滂		三		東	東	平	通	上平聲1東	上平聲1東	phung	phiung	phiung	phjuwng	pʰuɴ	pʰβuɴ	pʰuɴ
19		充	昌終	昌		三		東	東	平	通	上平聲1東	上平聲1東	tjhung	chjung	tcung	tsyhuwng	tɕʰuɴ	tɕʰuɴ	tçʰuɴ
20		隆	力中	來		三		東	東	平	通	上平聲1東	上平聲1東	lung	liung	liung	ljuwng	luɴ	lɹuɴ	ɭuɴ
21		空	苦紅	溪		一		東	東	平	通	上平聲1東	上平聲1東	khoung	khung	qung	khuwng	qʰuɴ	qʰuɴ	qʰᵒuɴ
22		公	古紅	見		一		東	東	平	通	上平聲1東	上平聲1東	koung	kung	kung	kuwng	quɴ	quɴ	qᵒuɴ
23		蒙	莫紅	明		一		東	東	平	通	上平聲1東	上平聲1東	moung	mung	mung	muwng	ᵯuɴ	muɴ	mᵒuɴ
24		籠	盧紅	來		一		東	東	平	通	上平聲1東	上平聲1東	loung	lung	lung	luwng	ɫuɴ	luɴ	lᵒuɴ
25		洪	戶公	匣		一		東	東	平	通	上平聲1東	上平聲1東	ghoung	ghung	hung	huwng	ʁuɴ	ʁuɴ	ʁᵒuɴ
26		叢	徂紅	從		一		東	東	平	通	上平聲1東	上平聲1東	dzoung	zung	dzung	dzuwng	dzuɴ	dzuɴ	dzᵒuɴ
27		翁	烏紅	影		一		東	東	平	通	上平聲1東	上平聲1東	qoung	qung	ung	'uwng	ʡuɴ	ʔuɴ	ʔᵒuɴ
28		怱	倉紅	清		一		東	東	平	通	上平聲1東	上平聲1東	tshoung	chung	cung	tshuwng	tsʰuɴ	tsʰuɴ	tsʰᵒuɴ
29		通	他紅	透		一		東	東	平	通	上平聲1東	上平聲1東	thoung	thung	thung	thuwng	tʰuɴ	tʰuɴ	tʰᵒuɴ
30		葼	子紅	精		一		東	東	平	通	上平聲1東	上平聲1東	tsoung	cung	zung	tsuwng	tsuɴ	tsuɴ	tsᵒuɴ
31		蓬	薄紅	並		一		東	東	平	通	上平聲1東	上平聲1東	boung	bung	bung	buwng	ᵬuɴ	buɴ	bᵒuɴ
32		烘	呼東	曉		一		東	東	平	通	上平聲1東	上平聲1東	houng	hung	xung	xuwng	χuɴ	χuɴ	χᵒuɴ
33		㟅	五東	疑		一		東	東	平	通	上平聲1東	上平聲1東	ngoung	ngung	ngung	nguwng	ɴuɴ	ɴuɴ	ɴᵒuɴ
34		檧	蘇公	心		一		東	東	平	通	上平聲1東	上平聲1東	soung	sung	sung	suwng	suɴ	suɴ	sᵒuɴ
35		冬	都宗	端		一		冬	冬	平	通	上平聲2冬	上平聲2冬	tong	tuung	tvng	towng	toɴ	toɴ	tɔɴ
36		彤	徒冬	定		一		冬	冬	平	通	上平聲2冬	上平聲2冬	dong	duung	dvng	downg	doɴ	doɴ	dɔɴ
37		賨	藏宗	從		一		冬	冬	平	通	上平聲2冬	上平聲2冬	dzong	zuung	dzvng	dzowng	dzoɴ	dzoɴ	dzɔɴ
38		農	奴冬	泥		一		冬	冬	平	通	上平聲2冬	上平聲2冬	nong	nuung	nvng	nowng	noɴ	noɴ	nɔɴ
39		攻	古冬	見		一		冬	冬	平	通	上平聲2冬	上平聲2冬	kong	kuung	kvng	kowng	qoɴ	qoɴ	qɔɴ
