#漢字	音標	解釋
□	pu1	~篮:簸箕,盛粮食用
□	u1	~蚤:跳蚤
□	tɕya1	~手:拽子
□	tɕʰyã1	~葱:芹菜
□	pʰi2	~叶=子:飞蛾
□	tsʰuə̃2	~子:凿子
□	tʰoŋ2	~鹊=:蜻蜓
□	tsʰɿ5	~眼:近视眼
□	xuõ5	~草
□	xən5	~鼻:鼻不通气,发音不清
□	kaŋ5	~几:条案
□	təʔ7	~去:跌去
□	səʔ7	~麻鸡:野鸡
□	kʰəʔ7	~猫=:鬼压床
□	tsʰai1	下一~雨
□	tɕʰioʔ7	同=~:蜻蜓
□	tʰaŋ2	山~:山谷
□	iɛʔ7	杨~子:蝴蝶
□	nau3	椿苗~头:香椿嫩芽
□	iɛʔ7	瘪~:空的或不饱满的子粒
□	yaŋ1	碗~他打破了
□	tau1	耳~:耳朵
□	pã1	聋~:聋子
□	pʰaŋ5	青石~:竹叶青蛇
□	lei2	麻~:汤圆
□	tɕi5	麻~:手或腿麻了
㪗	tʰəɯ5	
一	iʔ7	
丁	tin1	
七	tɕʰiɛʔ7	
万	uã3	
丈	tsʰaŋ1	
三	sã1	
上	saŋ6	1
上	aŋ6	2
下	xa1	
不	tɕin5	
不	poʔ7	
与	y2	
丐	kai5	
丑	tɕʰiəɯ3	
專	tɕyã1	
世	sɿ5	
丘	tɕʰiəɯ1	
丙	pin3	
業	iɛʔ7	
東	toŋ1	
絲	sɿ1	
丞	tsʰən1	
丢	təɯ1	
兩	liaŋ3	
嚴	ȵiɛ̃2	
喪	saŋ1	
个	kuo5	
丫	ŋa1	
中	tɕioŋ1	当~
串	tɕyə̃5	
臨	lin1	
丸	uã2	
丹	tã1	
主	tɕy3	
麗	li6	
久	tɕiəɯ3	
義	ȵi6	
之	tsɿ1	
烏	u1	
樂	ləʔ7	
喬	tɕʰiau2	
乖	kuai1	
乘	tsʰən2	
乙	iʔ7	
九	tɕiəɯ3	
也	iɛ3	
習	ɕiɛʔ7	
鄉	ɕiaŋ1	
書	ɕy1	
買	mai3	
亂	luõ5	
乳	lu2	
爭	tsən1	
事	sɿ6	
二	yo6	
于	y2	
虧	kʰuei1	
互	xu1	
五	u2	
井	tɕin3	
些	ɕiɛʔ7	
亡	uaŋ2	
交	tɕiau1	
亥	xai6	
亦	i5	
產	tsʰã3	
亨	xən1	
畝	məɯ3	
享	ɕiaŋ3	
京	tɕin1	
亭	tʰin2	
亮	liaŋ6	
親	tɕʰin1	
人	zən2	
億	i5	
仁	zən2	
今	kən1	
介	tɕiɛ5	
仍	zən2	
从	tsʰoŋ2	
倉	tsʰaŋ1	
仕	sɿ5	
他	tʰa6	
仗	tsaŋ5	
付	fu5	
仙	ɕiɛ̃1	
代	tʰai6	
儀	i1	
仰	ȵiaŋ2	
仲	tɕioŋ5	
件	tɕʰiɛ̃1	
價	tɕia5	
任	zən6	
份	fən1	
仿	faŋ2	
企	tɕʰi3	
伊	i5	
伍	u1	
伏	pʰu1	
伏	fuʔ7	
休	ɕiəɯ1	
衆	tɕioŋ5	
優	iəɯ1	
伙	xuo3	
會	xuei6	
傘	sã3	
傳	tɕʰyã2	~达
伢	ŋa2	
傷	saŋ1	
倫	lən2	
僞	uei3	
伯	poʔ7	
估	ku5	
伴	pʰuõ1	
伸	sən1	
伺	tsʰɿ3	
似	sɿ5	
佃	tʰiɛ̃1	
但	tã1	
佈	pu5	
低	ti1	
住	tɕy5	
住	tɕin5	
佐	tsʰuo6	
體	tʰi3	
余	y2	
佛	fəʔ7	
作	tsuoʔ7	
你	n̩7	
佩	pʰei5	
佳	tɕia1	
使	sɿ5	
侄	tsəʔ7	
侈	tsʰɿ1	
例	li6	
供	koŋ1	
依	i1	
偵	tsən1	
側	tsʰɤʔ7	
僑	tɕʰiau2	
侮	u2	
侯	xəɯ2	
侵	tɕʰin1	
