#漢字	音標	解釋
□	sɿ1	~骡，母骡
□	ma1	~~□[sa⁴⁴]□[sa⁴⁴]，形容凑合，过得去
□	tsa1	~□[tɕiŋ⁴⁴]，形容人斤斤计较
□	nia1	~声~气，形容娘娘腔
□	pɛ1	~脚，瘸子
□	xo1	~~嘴，兔唇的人
□	au1	~□[tsau⁴⁴]，洗澡时从身体上搓下来的细长条汉垢
□	təu1	~人恨，惹人讨厌
□	tʂʰən1	~□[tʰo⁴⁴]，形容人长得帅
□	kən1	~□[lən⁴⁴]半倒，形容人比较呆，做事能力不足
□	ɕiaŋ1	~□[iŋ⁴⁴]，形容东西便宜
□	pʰa2	~干净，吃干净饭
□	ta2	~~，围嘴
□	sa2	~鞋，拖鞋
□	ia2	~猪，公猪
□	ʂə2	~子，骰子
□	mo2	~嘴，吃零食
□	ko2	~得，形容消化不良
□	kʰo2	~膝头，膝盖
□	mei2	~~□[sa³¹]，语气词，表感叹
□	tsʰau2	~□[nɛ³¹]，形容人不爱卫生、不干净
□	pi3	~得，没有
□	ku3	~头~脑，形容人犟
□	ku3	~子，阉过的牛
□	pia3	~嘴，瘪嘴
□	nɛ3	~□[tɕʰiau⁴⁴]，阉过的猪
□	piəu3	~得，没有的意思
□	tsʰən3	~人，形容人丢脸
□	iŋ3	~□[xo⁵³]虫，屎壳郎
□	vu5	~□[su³¹]，形容人不爱干净，程度较轻
□	xo5	~骡，公骡
□	tsʰau5	~人，骂人
□	təu5	~着，遇见
□	ʂuã5	~□[nau⁵³]，枕头
□	sa1	□[ma⁴⁴]□[ma⁴⁴]~~，形容凑合，过得去
□	tʰo1	□[tʂʰən⁴⁴]~，形容人长得帅
□	tsau1	□~，洗澡时从身体上搓下来的细长条汉垢
□	tɕʰiau1	□[nɛ⁵³]~，阉过的猪
□	tʰən1	□[lən⁴⁴]~，形容人磨蹭，拖延
□	lən1	□[kən⁴⁴]~半倒，形容人比较呆，做事能力不足
□	tɕiŋ1	□[tsa⁴⁴]~，形容人斤斤计较
□	iŋ1	□[ɕiaŋ⁴⁴]~，形容东西便宜
□	su2	□[vu²¹³]~，形容人不爱干净，程度较轻
□	sa2	□[mei³¹]□[mei³¹]~，语气词，表感叹
□	nɛ2	□[tsʰau³¹]~，形容人不爱卫生、不干净
□	xo3	□[iŋ⁵³]~虫，屎壳郎
□	nau3	□~，枕头
□	mau5	不要
□	pia2	东西被压扁
□	lu1	乖~~，形容小孩很乖
□	tsoŋ1	倒栽~，形容人头朝下摔倒
□	tʂʰɛ1	六~，有六个手指的人
□	xə2	受到惊吓
□	maŋ1	吃~~，吃饭(儿语)
□	liaŋ1	大~□[iəu³¹]□[miŋ³¹]帽，斗笠
□	iəu2	大□[liaŋ⁴⁴]~□[miŋ³¹]帽，斗笠
□	miŋ2	大□[liaŋ⁴⁴]□[iəu³¹]~帽，斗笠
□	pʰu3	大~气，差不多
□	ma2	将袖子往胳膊上推
□	lia2	左~歪，左撇子
□	tsɿ1	形容人很生气
□	pʰa1	形容东西熟透了
□	pʰi2	形容人动作慢，磨蹭
□	tsa2	形容水冷
□	kʰuɛ3	形容人魁梧、壮
□	uɛ3	形容东西质量差
□	kaŋ5	彩虹
□	ʂʅ2	惯~，形容对孩子过分宠溺
□	liau5	扯白~谎，说谎
□	vu2	把东西折弯
□	tʂuɛ3	把不要的东西扔掉
□	naŋ3	推
□	loŋ3	日不~怂，形容人笨，含贬义
□	ʂən1	晚~，晚上
□	tɕiŋ1	灶~老爷，灶王爷
□	xoŋ2	热~~，形容天气很热
□	ua1	爪~，形容人爱计较，大惊小怪
□	ma2	用手指剥离玉米的籽粒
□	kʰo2	睡~睡，睡觉
□	təu3	神~~，形容人神经质
□	tia1	稀~~，形容很稀
□	foŋ1	窗~，窗户
□	tɕia2	老□[tʰu⁵³]~，马蜂的一种
□	tʰu3	老~□[tɕia³¹]，马蜂的一种
□	lã3	脚~洼，脚腕
□	sei1	茅~，厕所
□	ma3	蟑~~，蟑螂
□	lau1	街□[tʰi³¹]~，街上的人
□	tʰi2	街~□[lau⁴⁴]，街上的人
□	nei1	语气词
□	tɕʰia2	跨过去
□	tʂua2	踢
□	nə2	那个
□	tɕi1	酸~~，形容很酸
□	tau1	阴~~，形容天气阴沉
一	i2	
丁	tiŋ1	
七	tɕʰi2	
万	vã5	
丈	tʂaŋ5	
三	sã1	
上	ʂaŋ5	
下	ɕia5	
与	i3	
丐	kɛ5	
丑	tʂʰəu3	
專	tʂuã1	
且	tɕʰi3	
丕	pʰi1	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	piŋ3	
業	i2	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丞	tʂʰən2	
丟	tiəu1	
兩	liaŋ3	
嚴	iã2	
喪	saŋ5	~失
喪	saŋ1	婚~
个	kə5	
丫	ia1	
中	tʂoŋ5	射~
中	tʂoŋ3	当~
丰	foŋ1	
串	tʂʰuã5	
臨	liŋ2	
丸	uã2	
丹	tã1	
爲	uei5	~什么
爲	uei2	作~
主	tʂu3	
丽	li5	
舉	tɕi3	
久	tɕiəu3	
義	i5	
之	tʂʅ1	
烏	vu1	
乍	tʂa5	
乎	fu1	
乏	fa2	
