#漢字	音標	解釋
□	ly1	~钢筋:把钢筋拉直
□	tθʰɿ1	~肚子:拉肚子
□	tʂʰuɑ1	~饭:骂人的话，指吃饭
□	tuə1	~你:打你
□	mɔ1	~子:称呼说普通话的人
□	tʂɔ1	~~地:形容刺耳的说话声
□	lou1	~~:猪仔
□	tθʰou1	~干了:指风吹干了水分
□	kuɑ2	~上门:锁上门
□	tei2	~道:告诉
□	mə3	~了:脏了
□	tʃʰuə3	~断:折断
□	kʰuɛ3	~~:挠痒痒
□	tʰẽ3	~泥:在泥里走路
□	tʰəŋ3	~肚子:往外凸肚子
□	tʂʰɔ5	~过去:迈过去
□	tʰẽ5	~子:嗓子
□	kʰou2	指女性脾气厉害
□	nuə1	用手把物体的水分挤出来
□	pʰɛ3	踢
□	tʂuɛ1	陀螺
䜺	tʂʰɛ3	
一	i1	
丁	tɕiŋ1	
七	tɕʰi1	
万	uã5	
丈	tʃɑŋ5	
三	θã1	
上	ʃɑŋ5	
下	ʃɑ5	
不	pu1	
与	y3	
丐	kɛ5	
丑	tʃʰou3	
專	tʃuã1	
且	tɕʰiə3	
丕	pʰei1-	
丕	pʰi1=	
世	ʃɿ5	
丙	piŋ3	
叢	tθʰuŋ2	
東	tuŋ1	
絲	θɿ1	
丞	tʃʰəŋ2	
丢	tɕiou1	~人
兩	liɑŋ3	~个
嚴	iã2	
喪	θɑŋ5	
个	kə5	~人
丫	iɑ1	
中	tʂuŋ1	~间
中	tʂuŋ5	射~
丰	fəŋ1	
串	tʃʰuã5	
丸	uã2	
丹	tã1	
爲	uei5	~什么
爲	uei2	作~
主	tʃʮ3	
麗	li5	
舉	tʃʮ3	
乃	nɛ3	
久	tʃou3	
麽	iɔ1	~二三
義	i5	
之	tʂʅ1	
烏	u1	
乍	tʂɑ5	
乏	fɑ2	
樂	lə5=	
樂	yə5	音~
乓	pʰɑŋ1	
喬	tʃʰɔ2	
乖	kuɛ1	
乘	tʃʰəŋ2	
乙	i2	
九	tʃou3	
乞	tʃʰɿ3	
也	iə3	
習	si2	
鄉	ʃɑŋ1	
書	ʃʮ1	
買	mɛ3	
亂	lã5-	
亂	luã5=	
乳	y3	
乾	tʃʰã2	
了	liɔ3	~解
爭	tʂəŋ1	
事	ʂʅ5	
二	ɭə5	
于	y2	
虧	kʰuei1	
云	yẽ2	
互	xu1	
五	u3	
井	tsiŋ3	
亞	iɑ5	
些	siə2	一~
亡	uɑŋ2	
交	tʃɔ1	
亥	xɛ5	~时
亦	i5	
產	tʂʰã3	
亨	xəŋ1	
畝	mu3	
享	ʃɑŋ3	
京	tʃəŋ1	
亭	tɕʰiŋ2	
亮	liɑŋ5	
親	tɕʰiẽ1	
人	iẽ2	
億	i5	
仁	iẽ2	
僅	tɕiẽ3	
仆	pʰu3	
仇	tʃʰou2	
今	tɕiẽ1	
介	tʃɛ5	
仍	ləŋ2	
从	tθʰuŋ2	
仑	lẽ2	
仑	luẽ2=	
倉	tθʰɑŋ1	
仕	ʂʅ5	
他	tʰɑ3	
仗	tʃɑŋ5	
付	fu5	
仙	siã1	
代	tɛ5	
令	liŋ5	
以	i1	
仨	θɑ1	
儀	i5	
仲	tʂuŋ5	
件	tʃã5	
價	tʃɑ5	
任	iẽ5	
份	fẽ5	
仿	fɑŋ2	
企	tʃʰɿ3	
伊	i1	
伍	u3	
伏	fu2	
伐	fɑ2	
休	ʃou1	
衆	tʂuŋ5	
優	iou1	
伙	xuə3	
會	xuei5	
會	kʰuɛ5	~计
傘	θã3	
偉	uei3	
傳	tʃʰuã2	~达
傳	tʃuã5	~记
伢	iɑ2	
倫	lẽ2	
倫	luẽ2=	
僞	uei3	
伯	pei2-	
伴	pã5	
伶	liŋ2	
伸	ʃẽ1	
伺	tθʰɿ5	
似	θɿ5	
佃	tɕiã5	
但	tã5	
位	uei5	
低	tɕi1	
住	tʃʮ5	
佐	tθuə3	
佑	iou5	
體	tɕʰi3	
何	xə2	
佘	ʃə1	
余	y2	
佛	fu2	仿~
佛	fə2	大~
作	tθuə1	工~
佞	niŋ5	
你	ni3	
佩	pʰei5	
使	ʂʅ3	
侃	kʰã3	
侄	tʃɿ2	
侉	kʰuɑ3	
例	li5	
侍	ʂʅ5	
供	kuŋ1	~应
供	kuŋ5	上~
依	i1	
僥	tʃɔ3	~幸
偵	tʃẽ1	
側	tθʰei1-	
僑	tʃʰɔ2	
儂	nuŋ2	
侮	u3	
侯	xou2	
侵	tɕʰiẽ1	
便	pʰiã2	~宜
便	piã5	方~
俊	tsyẽ5	
俏	tʃʰɔ5	
俗	sy2-	
俗	θu2=	
俘	fu2	
保	pɔ3	
俟	θɿ5	
信	siẽ5	
儼	iã3	
儉	tʃã3	
修	siou1	
俱	tʃʮ5	
俸	fəŋ5	
俺	ã3	
倍	pei5	
倒	tɔ5	~水
倒	tɔ3	打~
倔	tʃuə5	脾气~
倘	tʰɑŋ3	
候	xou5	
倚	i3	
借	tsiə5	
倡	tʃʰɑŋ5	
倦	tʃuã5	
倩	tʃʰã5	
倭	uə1	
債	tʂɛ5	
值	tʃɿ2	
傾	tʃʰəŋ1	
假	tʃɑ5	放~
假	tʃɑ3	真~
偏	pʰiã1	
做	tθou5-	
做	tθuə5=	
停	tɕʰiŋ2	
健	tʃã5	
偶	ou3	
偷	tʰou1	
償	tʃʰɑŋ2	
傀	kʰuei2	
傅	fu5	
傍	pɑŋ5	
儲	tʃʰʮ3	
催	tθʰei1-	
催	tθʰuei1=	
傲	ŋɔ5	
傻	ʂɑ3	
像	siɑŋ5	
僧	θəŋ1	
僵	tʃɑŋ1	
儒	y1	
儡	lei3	傀~
兒	ɭə2	
允	yẽ3	
元	yã2	
兄	ʃuŋ1	
充	tʂʰuŋ1	
兆	tʃɔ5	
先	siã1	
光	kuɑŋ1	
克	kʰei1-	~服
免	miã3	
兑	tei5-	
兑	tuei5=	
兔	tʰu5	
兗	iã3	
兜	tou1	
全	tɕʰyã2	
八	pɑ1	
公	kuŋ1	
蘭	lã2	
共	kuŋ5	
關	kuã1	
興	ʃəŋ5	
兵	piŋ1	
其	tʃʰɿ2	
具	tʃʮ5	~有
典	tɕiã3	
兹	tθɿ1	
養	iɑŋ3	
兼	tʃã1	
獸	ʃou5	
冀	tʃɿ3	
内	nei5	
岡	kɑŋ3	
冉	iã3	
册	tʂʰei3	
册	tθə5=	
再	tsɛ5	
冒	mɔ5	
冗	yŋ2	
寫	siə3	
軍	tɕyẽ1	
農	nuŋ2=	
冠	kuã5	~军
冠	kuã1	鸡~子
冢	tʂuŋ3	
冤	yã1	
冥	miŋ2	
冬	tuŋ1	
馮	fəŋ2	
