#漢字	音標	解釋
一	i2	
七	tsʰi2	
万	uã5	
三	sã1	
上	sã5	
下	xia5	
世	si5	
業	ŋiɛ2	
東	toŋ1	
絲	sɿ1	
丟	tiəu1	
兩	liã3	
嚴	iɛ̃2	
个	ko5	
中	tsoŋ1	
丰	foŋ1	
主	tsy3	
舉	ky3	
義	ŋi5	
烏	u1	
九	kiəu3	
習	si2	
書	sy1	
買	mæ3	
亂	luã5	
爭	tsən1	
事	sɿ5	
二	ə5	
虧	kʰuəi1	
雲	yn2	
五	u3	
井	tsin3	
交	kiɔ1	
產	tsʰã3	
亮	liã5	
親	tsʰin1	
人	in2	
倉	tsʰã1	
付	fu5	
件	kiɛ̃5	
任	in5	
休	siəu1	
優	iəu1	
會	xuəi5	
傘	sã3	
傳	tsʰyɛ̃2	
傳	tsyɛ̃5	
傷	sã1	
位	uəi5	
低	ti1	
住	tsy5	
余	y2	
佛	fu2	
作	tso2	
使	si3	
侄	tsi2	
側	tsʰə2	
便	piɛ̃5	
俊	tsən5	
修	siəu1	
借	tsiɛ5	
假	kia3	
做	tsəu5	
停	tʰin2	
健	kiɛ̃5	
偸	tʰəu1	
像	siã5	
僧	tsən1	
僧	sən1	
兒	ə2	
兄	xioŋ1	
充	tsʰoŋ1	
先	siɛ̃1	
光	kuã1	
黨	tã3	
入	y2	
全	tsʰyɛ̃2	
八	pa2	
公	koŋ1	
六	lu2	
蘭	lã2	
共	koŋ5	
關	kuã1	
興	xin5	
兵	pin1	
典	tiɛ̃3	
寫	siɛ3	
軍	kyn1	
冤	yɛ̃1	
冬	toŋ1	
冰	pin1	
冲	tsʰoŋ1	
決	kyɛ2	
冷	lən3	
凍	toŋ5	
準	tsyn3	
減	kã3	
湊	tsʰəu5	
几	ki3	
鳳	foŋ5	
凳	tən5	
凶	xioŋ1	
出	tsʰy2	
擊	ki2	
刀	tɔ1	
分	fən1	
切	tsʰiɛ2	
划	xua5	
列	liɛ2	
初	tsʰu1	
判	pʰã5	
別	piɛ2	
刮	kua2	
制	tsi5	
刷	sua2	
刺	tsʰɿ5	
刻	kʰə2	
剃	tʰi5	
削	syo2	
前	tsʰiɛ̃2	
劍	kiɛ̃5	
剝	po2	
劇	ky5	
剩	sən5	
剪	tsiɛ̃3	
副	fu5	
割	ko2	
劈	pʰi2	
力	li2	
勸	kʰyɛ̃5	
辦	pã5	
動	toŋ5	
勁	kin5	
勤	kʰin2	
勺	sɔ2	
勻	yn2	
包	pɔ1	
化	xua5	
北	pə2	
匠	tsiã5	
匹	pʰi2	
區	kʰy1	
十	si2	
升	sən1	
半	pã5	
華	xua2	
協	xiɛ2	
卒	tsu2	
單	tã1	
賣	mæ5	
南	nã2	
占	tsã5	
衛	uəi5	
印	in5	
危	uəi2	
卷	kyɛ̃3	
廠	tsʰã3	
廳	tʰin1	
历	li2	
厭	iɛ̃5	
厚	xəu5	
原	yɛ̃2	
去	kʰə5	
縣	xiɛ̃5	
参	sən1	
及	ki2	
雙	suã1	
反	fã3	
发	fa2	
叔	su2	
取	tsʰy3	
變	piɛ̃5	
口	kʰəu3	
古	ku3	
句	ky5	
叫	kiɔ5	
可	kʰo3	
台	tʰæ2	
右	iəu5	
葉	iɛ2	
號	xɔ5	
吃	kʰi2	
各	ko2	
吉	ki2	
名	min1	
后	xəu5	
向	siã5	
呂	ly3	
吞	tʰən1	
含	xã2	
聽	tʰin5	
吳	u2	
