#漢字	音標	解釋
□	fi1	用油炸
□	tɕʰi1	火～：火铲子
□	ɕi1	脚骨～头：膝盖
□	ɕi1	～矮：很矮
□	ɕi1	傻～～：傻乎乎
□	pʊ1	口～：嘴
□	sʊ1	翼～：翅膀
□	ʊ1	～髻：髻
□	ʊ1	气逼哈～：气喘吁吁
□	tsɑ1	鸡骨乱～：乱七八糟
□	tɕyɑ1	钝
□	piɛ1	撮
□	ɕiɛ1	阿～：孙子；侄子
□	tɕyei1	～锄：一种锄头
□	ȵyei1	用手拧、掐
□	tuə1	溪～：溪
□	tɕyə1	剁
□	pɤ̞1	抓
□	ɕɤ̞1	掀
□	ɕɤ̞1	楔子
□	pʰəɯ1	柚子
□	ləɯ1	掏
□	tsəɯ1	吸
□	tsʰəɯ1	～mi²⁴：梁
□	tæ̃1	xã¹¹²～：怎么
□	tʰæ̃1	～勿多：差不多
□	tsʰæ̃1	钻，挤入
□	kʰæ̃1	～nã¹¹²：怎么
□	pɑ̃1	推～：差
□	kʰɑ̃1	～～：刚，恰
□	tɕiɑ̃1	瞪
□	ᴇɲ1	埋，葬
□	pieɲ1	～芽子：蓖麻
□	tɕieɲ1	跨
□	tsʰɔm1	火～：烘篮
□	sɔm1	～衣：蓑衣
□	sɔm1	弄～：捉弄
□	sɿ2	～杷：枇杷
□	sɿ2	饭～：木制饭勺
□	pi2	鞋～：竹制针线筐
□	li2	红～树：香椿树
□	tɕʰi2	什么
□	tsɑ2	我
□	tɕʰyɑ2	抱
□	miɛ2	揢乌～：捉迷藏
□	liᴇ2	咬
□	ŋɤ̞2	大粮柜
□	xəɯ2	思慕
□	pʰæ̃2	溅
□	læ̃2	橙子
□	læ̃2	斜着顶
□	læ̃2	生耳～：患中耳炎
□	tsæ̃2	～日：昨天
□	tʰᴇɲ2	安放
□	tʰᴇɲ2	逗；骗
□	tsᴇɲ2	你
□	mieɲ2	梁
□	ɕieɲ2	～糖：饴糖
□	tsʰɔm2	谁。“tsʰɑ⁵³⁴农”的合音
□	mi3	那
□	mi3	tsʰəɯ¹¹²～：梁
□	ɕi3	～低：很低
□	ki3	这
□	i3	痂
□	ʊ3	丢失
□	tɕy3	看守
□	kɑ3	丘疹
□	iɑ3	动词，扇
□	xuɑ3	～开：张开
□	tɕyɑ3	摔；打
□	liᴇ3	箅子
□	liᴇ3	tɕyə⁵⁵～：知了
□	kʰiᴇ3	挑担
□	tuə3	擀
□	ɤ̞3	折叠
□	pæ̃3	～母：夫之嫂
□	xuæ̃3	歪
□	mɑ̃3	那样。“末样”的合音
□	kɑ̃3	这样。“仡样”的合音
□	tɕieɲ3	洇
□	tʰi4	填使平
□	lʊ4	大范围地砍
□	tsʰɑ4	哪
□	kʰɑ4	衰弱
□	tsæ̃4	吵闹
□	tsɿ5	～饭：盛饭
□	tsɿ5	～瓦：旧式瓦
□	mi5	～瓦：砚台
□	tɕi5	楔子
□	ȵi5	～槽：抽屉
□	pʊ5	铺设
□	pʰʊ5	～日头：晒太阳取暖
□	lʊ5	搞～sɤ5：玩儿
□	sʊ5	模子
□	sʊ5	塌陷
□	ʊ5	煮
□	tɕy5	～家：回去
□	tɕy5	担～：帮助挑担用的棍子
□	kɑ5	～橱：碗橱
□	iɑ5	知～：知了
□	ɕiɛ5	鸡～：鸡屋
□	kuə5	～蛮：倔
□	lɤ̞5	稀薄
□	sɤ̞5	搞lu5～：玩儿
□	kɤ̞5	～水：碱
□	lɤ̞5	～口：吵嘴
□	tɑ̃5	随～便：随便
□	tɕʰyɑ̃5	亡狗～：一种棺材
□	mᴇɲ5	掷
□	sᴇɲ5	帮～：帮助
□	tieɲ5	吝惜
□	tieɲ5	沉淀
□	tɕʰieɲ5	～口：忌口
□	tɔm5	～争头：肘
□	n̩5	～下：门槛
□	məʔ8	那
□	məʔ8	～李：李子
□	səʔ8	这
□	kʰəʔ8	折使断
□	kʰəʔ8	卡，夹
□	liəʔ8	用棍子打
□	sɔʔ8	骂
□	ȵiɔʔ8	揉
