#漢字	音標	解釋
□	iai2	俗称发生性关系
㿭	tsʰa7	
一	i2	又读
一	i7	又读
丁	tai1	
七	tʃʰi7	
万	uã6	
丈	tsaŋ6	
三	sã1	
上	saŋ3	~下
上	saŋ6	~面
下	hɔ3	~降
下	hɔ6	底~
不	pu2	
与	y3	
丑	tʃʰiou3	
專	tsuã1	
且	tʃʰie3	
世	ʃi5	
丘	tʃʰiou1	
丙	pai3	又读
丙	pin7	又读
業	nie2	
叢	tsʰoŋ2	
東	təŋ1	
絲	sɿ1	
丟	tiou1	
兩	niaŋ3	~个
兩	niaŋ3	几~几钱
嚴	iẽ2	
喪	saŋ1	
喪	saŋ1	~事
个	kuo5	
丫	ɔ1	
中	tʃin1	~间
中	tsoŋ1	~国
中	tsoŋ5	射~
丰	fəŋ1	
串	tsʰuã5	
臨	nai2	
丸	uã2	
丹	tã1	
爲	uei6	~什么
爲	uei2	作~
主	tsu3	
麗	ni6	
舉	tʃy3	
久	tʃiou3	
義	i5	
之	tsɿ1	
烏	u1	
乎	fu2	
樂	nuo2	快~
樂	iɔ2	音~
喬	tʃiau2	
乖	kua1	
乘	tsʰəŋ2	
乙	i2	
九	tʃiou3	
也	ie6	
習	ʃi2	
鄕	ʃiaŋ1	
書	ʃy1	
買	ma3	
亂	nuã6	
乳	y3	
乾	tʃʰiẽ2	
了	niau3	
爭	tsəŋ1	
事	sɿ6	
二	i6	
于	y2	
于	y2	~此
虧	kʰuei1	
雲	yŋ2	
互	fu5	
五	ŋ̍3	
井	tsai3	
亞	ia5	
亡	uaŋ2	
交	tʃiau1	
亥	hai5	
產	tsʰã3	
亨	həŋ1	
畝	mou3	
享	ʃiaŋ3	
京	kai1	又读
京	tʃin1	又读
亭	tʰai2	
亮	niaŋ6	
親	tʃʰin1	
親	tsʰai5	
人	nin2	
億	i5	
什	səŋ3	
仁	in2	
僅	tʃin3	
仇	tʃiou2	
今	tʃin1	
介	ka5	蒋~石，又读
介	kai5	蒋~石，又读
仍	in2	
从	tsʰoŋ2	~容
从	tsʰoŋ2	跟~
仑	nəŋ2	
倉	tsʰaŋ1	
仕	sɿ5	
他	tʰɔ1	
仗	tsaŋ5	
付	fu5	
仙	ʃiẽ1	
代	tua6	
令	nai6	
以	i3	
儀	i2	
仰	aŋ5	
仲	tsoŋ1	
件	tʃiẽ6	
價	ka5	
任	in5	
份	fəŋ6	
仿	faŋ3	
仿	faŋ3	~佛
仿	faŋ3	相似
企	tʃʰi5	
伍	ŋ̍3	
伏	fu2	
休	ʃiou1	
衆	tsoŋ5	
優	iou1	
伙	huo3	
會	kʰua5	~计
會	fei6	~不~
會	fei6	开~
傘	sã3	
偉	uei3	
傳	tsuã2	~达
傳	tsuã6	水浒~
傷	saŋ1	
僞	uei6	
伯	pa2	~公
伯	puo2	叔~
估	ku1	
伴	pã5	
伶	nin2	
伸	səŋ1	
伺	tsʰɿ5	
似	sɿ5	
佃	tiẽ6	
但	tã5	
位	uei6	
低	ti1	
住	tʃy6	
佑	iou6	
體	tʰi3	
何	huo2	
余	y2	
佛	fu2	
佛	fu2	仿~
作	tsuo2	
你	ni3	
佩	pʰei5	
使	sɿ3	
侄	tʃi2	
例	ni6	
供	koŋ1	~给
供	koŋ5	~养，上~
供	koŋ6	~销所
依	i1	
僑	tʃiau2	
侯	hou2	
侵	tʃʰin5	
便	piẽ2	
便	piẽ6	
促	tsʰu2	
俄	uo2	
俊	tʃyŋ5	
俏	tʃʰiau5	
俗	su2	
俘	fu2	
保	pau3	
信	ʃin5	
修	ʃiou1	
俯	fu6	
倶	tʃy5	
倍	pei6	几~
倍	pei5	单念
倒	tau5	~水
倒	tau3	打~，颠~
候	ha6	
借	tʃia5	
倡	tsʰaŋ1	
倦	tʃyẽ5	
倪	ni2	
債	tsai5	
値	tsai2	~得
値	tsɿ6	~日
傾	tʃʰyŋ3	
假	ka5	放~
假	kɔ3	真~
偏	pʰiẽ1	
做	tsou5	
停	tai2	
健	tʃiẽ5	
偶	ou7	~然
偶	ou7	配~
偸	tʰa1	
償	tsaŋ2	
傀	kʰuei5	
傅	fu6	
儲	tsʰu2	
催	tsʰei1	
傲	au5	
傻	hɔ3	
像	ʃiaŋ5	
僧	tsəŋ1	又读
僧	səŋ1	又读
僵	tʃʰiaŋ1	
僻	pi2	
儡	nei3	
允	yŋ3	
元	yẽ2	
兄	ʃioŋ1	
充	tsʰoŋ1	
兆	tsau5	
先	ʃiẽ1	
光	kuaŋ1	
克	kʰə2	
免	miẽ3	
兌	tei5	
兔	tʰu5	
黨	taŋ3	
兜	ta1	
入	ni7	
全	tʃyẽ2	
八	puo7	
公	kəŋ1	~母
公	koŋ1	~社
六	niou7	
蘭	nã2	
共	koŋ6	
關	kuã1	
興	ʃin1	~旺
興	ʃin5	高~
兵	pai1	
其	tʃʰi2	
具	tʃy5	
典	tiẽ3	
養	iaŋ3	
兼	tʃiẽ1	
獸	ʃiou6	
冀	tʃi5	
內	nei6	
岡	kaŋ1	
冊	tsʰa7	
再	tsa5	
冒	mau6	
寫	ʃia3	
軍	tʃyŋ1	
農	noŋ2	多用
農	nəŋ2	少用
冠	kuã5	~军
冠	kuã1	鸡~
冤	yẽ1	
冬	təŋ1	
馮	fəŋ2	
冰	pin1	
冲	tsʰoŋ1	
決	tʃye2	
況	kʰuaŋ5	
冷	nɔ7	
凍	təŋ5	
淨	tsai6	
準	tsuəŋ3	
涼	niaŋ2	
凌	nin2	
減	kã3	
湊	tsʰa5	
凝	kou5	
几	tʃi1	~乎
几	tʃi3	~个
凡	fã2	
鳳	fəŋ6	
凭	pai2	
凱	kʰai7	
凳	tai5	
凶	ʃioŋ1	~恶
凶	ʃioŋ1	吉~
出	tsʰu2	又读
出	tʃʰy7	又读
擊	tʃi2	
函	hã2	
鑿	tsuo2	
刀	tau1	
刁	tiau1	
刃	in5	
分	fəŋ1	
切	tʃʰie2	
刊	kʰã5	
刑	ʃin2	
划	huo2	~船
划	huo6	~开
列	nie2	
劉	niou2	
則	tsə2	
剛	kaŋ1	
創	tsʰuaŋ5	
初	tsʰu1	
刪	suã1	
判	pʰã5	
利	ni6	
別	pie2	区~
別	pie2	离~
刮	kuo7	
到	tau5	
制	tsɿ5	
刷	suo7	
券	tʃyẽ5	
刺	tsʰɿ5	
刻	kʰə2	时~
刻	kʰə2	用刀~
剁	tuo5	
劑	tʃi5	
剃	tʰi5	
削	ʃiau7	
前	tʃiẽ2	
劍	tʃiẽ5	
剔	tʰi5	
剖	pʰuo5	
剝	puo2	
劇	tʃy5	~烈
劇	tʃy5	戏~
剩	səŋ5	又读
剩	sai6	又读
剪	tʃiẽ3	
副	fu5	
割	kuo2	又读
割	kuo7	又读
剿	tʃiau2	
劈	pʰai7	
力	nai7	~量
力	ni2	暴~
勸	tʃʰyẽ5	
辦	pã6	
功	koŋ1	
加	kɔ1	
務	u5	
劣	nie7	
動	təŋ6	
助	tsu6	
努	nu3	
劫	tʃie2	
勵	ni6	
勁	tʃin5	
勞	nau2	
勢	sɿ5	
勇	ioŋ3	
勉	miẽ3	
勳	ʃyŋ1	
勒	nai7	
勘	kʰã1	
募	mu6	
勤	tʃin2	又读
勤	tʃʰin2	又读
勾	ka1	
勻	yŋ2	
包	pau1	
匆	tsʰoŋ1	
化	huo6	
北	pai7	
匙	ʃi2	
匠	tʃiaŋ6	
匡	kʰuaŋ1	
匪	fei3	
匹	pi2	一~布、马
匹	pʰi2	又读
區	tʃʰy1	
醫	i1	
匾	piẽ3	
十	ʃi2	
千	tʃʰiẽ1	
升	səŋ1	
午	ŋ̍3	中~，~觉
午	u3	吃晌~
半	pã5	
華	hua2	中~
華	hua2	借桂
協	ʃie2	
卑	pei1	
卒	tsu2	
卓	tsuo2	
單	tã1	
賣	ma6	
南	nã2	
博	puo2	
卜	pa6	
占	tsã5	
占	tsã5	~卜
盧	nu2	
卤	nu3	
卦	kuo5	
臥	uo6	
衛	uei6	
卯	mau6	
印	in5	
危	uei2	
即	tʃi2	
卵	nuã3	
卷	kyẽ3	~起，试~
卷	tʃyẽ3	试~，又读
卿	tʃʰin1	
廠	tsʰaŋ3	
廳	tʰin1	
历	nai7	~史
历	nai7	~本
历	ni2	阳~
厲	ni6	
壓	ɔ7	
厭	iẽ5	
厘	ni2	
厚	ha3	
原	yẽ2	
廂	ʃiaŋ1	
廚	tʃy2	
去	kʰie5	
縣	ʃyẽ6	
参	tsʰã1	
参	səŋ1	人~
又	iou6	
叉	tsʰɔ1	
及	tʃi2	
友	iou3	
雙	suaŋ1	
反	fã3	
发	huo2	~财
发	huo7	~展
叔	su2	
取	tʃʰy3	
受	ʃiou6	
變	piẽ5	
敍	ʃy5	
叛	pʰã5	
疊	tie2	
口	kʰa3	
古	ku3	
句	ky5	
另	nai6	
叨	tau1	
只	tsɿ3	~有
只	tsɿ7	一~
叫	tʃiau5	
召	tsau1	
可	kʰuo3	
台	tua2	
台	tua2	天~，~州
史	sɿ3	
右	iou6	
葉	ie2	又读
葉	ie7	又读
號	hau6	
司	sɿ1	
嘆	tʰã5	
吃	tʃʰie2	又读
吃	tʃʰie7	又读
吃	tsʰai7	又读
各	kuo2	
吆	iau1	
合	huo2	
吉	tʃi2	
吊	tiau5	
同	təŋ2	
名	mai2	
后	ha6	
吏	ni6	
吐	tʰu5	~痰
吐	tʰu5	呕~
向	ʃiaŋ5	
嚇	ha7	~一跳
嚇	ha7	~一跳，恐~
呂	ny3	
君	tʃyŋ1	
吞	tʰəŋ5	
否	fou3	
含	fã2	
聽	tʰai1	~见，~话
聽	tʰai1	~其自然，~任
啓	tʃʰi3	
吳	u2	
吵	tsʰau3	
吸	tʃi2	
吹	tsʰuei1	
吻	uəŋ3	
吾	u2	
呈	tsʰəŋ2	
吿	kau5	
嘔	ou7	
員	yẽ2	
周	tʃiou1	
味	uei6	
呼	fu1	
命	mai6	
和	huo2	~气
和	huo2	~面
咒	tsou5	
咨	tsɿ1	
咬	au3	
咳	kʰa2	
咸	hã2	
咽	iẽ5	
哀	ai1	
品	pʰin3	
哄	hoŋ1	
哄	həŋ3	~骗
哈	ha1	
響	ʃiaŋ3	
啞	ɔ3	
哥	kuo1	
哪	na3	
哭	kʰou7	
哲	tsə2	
唆	suo1	
唐	taŋ2	
嘮	nau2	
喚	fã5	
售	sou5	
唯	uei2	
唱	tsʰaŋ5	
啃	kʰəŋ3	
啄	tsuo2	又读
啄	tsuo7	又读
商	saŋ1	
囉	nuo1	
啼	ti2	
喂	uei5	
善	sã6	
喉	ha2	
喊	hã3	
喘	tsʰua3	
喜	ʃi3	
喝	huo1	
喧	ʃyẽ1	
噴	pʰəŋ5	
喩	y6	
嗅	ʃiou5	
嗉	sei5	
嗓	saŋ3	
嗽	sa5	
嘉	kɔ1	
噓	ʃy1	
囑	tsu2	
嘴	tsei3	
噎	ie7	
器	tʃʰi5	
囂	ʃiau1	
嚼	tʃiau2	
囊	naŋ2	
四	sɿ5	
回	uei2	
因	in1	
团	tuã2	
園	yẽ2	
困	kʰuəŋ5	
圍	uei2	
固	ku5	
國	kuo2	
圖	tu2	
圓	yẽ2	~形，~的
圓	nuã2	训读
圈	kʰyẽ1	
土	tʰu3	
聖	səŋ5	
在	tsʰa3	
地	ti6	
場	tsaŋ3	
址	tsɿ3	
均	tʃyŋ1	
坎	kʰã3	
壞	fua6	
坐	tsʰuo3	
坑	kʰəŋ1	
塊	kʰua5	
堅	tʃiẽ1	
坛	tã2	
壩	puo5	堤
壩	puo5	平川
墳	fəŋ2	
墜	tsuei6	
坡	pʰuo1	
坤	kʰuəŋ1	
坦	tʰã1	
坪	pai2	
坯	pʰei1	
坳	au5	
型	ʃin2	
垒	nei3	
垛	tuo6	
墾	kʰəŋ3	
墊	tiẽ6	
垮	kʰua3	
埃	ai2	
埋	ma2	
城	tsʰəŋ2	
埠	pu6	
培	pei2	
基	tʃi1	
堂	taŋ2	
堆	tei1	
堡	pau3	
堰	iẽ5	
堵	tu3	
塌	tʰa2	
塑	su5	
塔	tʰɔ2	
塘	taŋ2	
塞	sə2	又读
塞	sai7	又读
塡	tiẽ2	
境	tʃin5	
墓	mu6	
牆	tʃiaŋ2	
增	tsəŋ1	
墟	ʃy1	
墨	mai7	
墩	təŋ1	
壁	pi2	墙~
壁	pai2	隔~
壕	hau2	
士	sɿ6	
壬	in2	
壯	tsuaŋ5	~族
壯	tsuaŋ6	好~
聲	sai1	
壺	fu2	
處	tʃʰy5	到~
處	tsʰu3	相~
備	pi6	
复	fu2	
复	fu2	~原
复	fu6	~兴
夏	hɔ6	
外	ua6	
多	tuo1	
夜	iɔ6	
够	ka5	
大	ta6	
天	tʰiẽ1	
太	tʰa5	
夫	fu1	
央	iaŋ1	
失	ʃi7	
頭	ta2	
夸	kʰua1	
夾	kɔ7	
夾	kɔ7	~菜
奪	tuo2	
奇	tʃi1	~数
奇	tʃʰi2	~怪
奈	na6	
奉	fəŋ5	
奮	fəŋ5	
奏	tsou5	
契	tʃʰi5	
奔	pəŋ1	
獎	tʃiaŋ3	
套	tʰau5	
奠	tiẽ6	
奧	au5	
女	ny3	
奴	nu2	
奶	na3	~~
奶	nai3	吃~
奸	tʃiẽ1	
好	hau3	~坏
好	hau5	~吃
如	y2	
妃	fei1	
妄	uaŋ6	
婦	fu6	
媽	ma2	
妓	tʃi5	
妖	iau1	
妙	miau6	
妥	tʰuo3	
妨	faŋ2	
妹	mei6	
妻	tʃʰi1	
姊	tsɿ3	
始	sɿ3	
姐	tʃia3	
姑	ku1	
姓	sai5	
委	uei3	
姚	iau2	
姜	tʃiaŋ1	
姨	i2	
姻	in1	
姿	tsɿ1	
威	uei1	
嬌	tʃiau1	
娘	niaŋ2	
娛	y2	
娶	tʃʰy3	
婆	puo2	
婚	fəŋ1	
嬰	in1	
嬸	səŋ3	
婿	ʃy5	
媒	mei2	
媳	ʃi2	
嫁	ka5	
嫂	sau3	
嫌	ʃiẽ2	
嫖	piau2	
嫩	nəŋ6	
孀	suaŋ1	
子	tsɿ3	
孔	kʰoŋ3	~雀
孔	kʰoŋ7	姓，又读
孕	yŋ6	
字	tsɿ6	
存	tsəŋ2	~钱，~款
存	tsʰəŋ2	~在，~款
孫	səŋ1	
孝	ʃiau5	
孟	məŋ5	
季	tʃi5	
孤	ku1	
學	ʃiau2	
孵	fu2	
孽	nie7	
寧	nin2	~可
寧	nai2	南~
宅	tsə2	
宇	y3	
守	ʃiou3	
安	ã1	
宋	soŋ5	
完	yẽ2	
宏	hoŋ2	
宗	tsoŋ1	
官	kuã1	
宙	tsou5	
定	tai6	
宛	uã3	
宜	i2	
寶	pau3	
實	sɿ2	
寵	tsʰoŋ3	
審	səŋ3	
客	kʰə2	又读
客	kʰa7	又读
宣	ʃyẽ1	
室	sɿ2	
宪	ʃiẽ5	
宮	koŋ1	
害	fua6	
宴	iẽ5	
宵	ʃiau1	
家	kɔ1	
家	kɔ1	~具
容	ioŋ2	
寬	kʰuã1	
賓	pin1	
宿	su2	
寄	tʃi5	
寅	in2	
密	mi2	
富	fu5	
寒	hã2	
寓	y6	
寞	muo2	
察	tsuo2	
寡	kuo2	
寨	tsai5	大~，地名
寨	tua6	鹿~
寸	tsʰəŋ5	
對	tei5	
寺	tsɿ6	
尋	tʃin2	
導	tau3	
壽	ʃiou6	
封	fəŋ1	
射	sɔ6	
將	tʃiaŋ1	~来
將	tʃiaŋ5	~军
尊	tsəŋ1	
小	ʃiau3	
少	sau3	
少	sau5	
尖	tʃiẽ1	
塵	tʃin2	
尙	saŋ6	
嘗	saŋ2	
尤	iou2	
堯	iau2	
就	tʃiou6	
屍	sɿ1	
尹	yŋ3	
尺	tsʰai7	
尼	ni2	
尽	tʃin5	~力
尽	tʃin5	~量
尾	uei3	
尿	niau6	
局	tʃy2	
屁	pʰi5	
層	tsai2	
居	tʃy1	
屈	tʃʰy2	
屉	ti5	
屆	ka5	
屋	ou7	
屎	ʃi3	
屛	pai2	
展	tsã3	
屬	su2	
屠	tu2	
履	ny3	
山	sã1	
歲	sei5	
岔	tsʰɔ5	
崗	kaŋ1	
島	tau3	
巖	ã2	
嶺	nai3	
岳	iau7	~丈
岳	iɔ2	又读
岳	iau7	又读
岸	ã6	
峽	ʃia2	
峯	fəŋ1	
崇	tsʰoŋ2	
崔	tsʰei1	
崩	pəŋ1	
川	tsʰuã1	
州	tʃiou1	
巡	səŋ2	
工	kəŋ1	
左	tsuo3	
巧	tʃʰiau3	
巨	tʃy5	
鞏	koŋ7	
巫	u1	
差	tsʰɔ1	~别，~不多
差	tsʰua1	出~
己	tʃi3	
已	i3	
巴	puo1	
巷	haŋ6	
巾	tʃin1	
幣	pi6	
市	sɿ6	
布	pu5	
帥	sua5	
帆	fã2	
師	sɿ1	
希	ʃi1	
帳	tsaŋ5	
帖	tie2	
帘	niẽ2	
帝	ti5	
帶	ta5	
席	tsai2	~子
席	ʃi2	主~，酒~
幫	paŋ1	
常	tsaŋ2	
帽	mau6	
幅	fu2	
幕	mu6	
干	kã5	
干	kã1	~净
干	kuã1	~燥
干	kuã1	~湿
平	pai2	
年	niẽ2	
幷	pin5	~且
幷	pin5	合~
幸	ʃin5	
幺	iau1	
幻	fã5	
幼	iou5	
幽	iou1	
廣	kuaŋ3	
莊	tsuaŋ1	
慶	tʃʰin5	
庇	pi6	
牀	tsuaŋ2	
序	ʃy5	
廬	nu2	
庫	kʰu5	
應	in5	
應	in5	~对，响~
底	ti3	
店	tiẽ6	
廟	miau6	
庚	kəŋ1	
府	fu3	
龐	pʰaŋ2	
廢	fei5	
度	tu6	
座	tsʰuo3	
庭	tai2	
庵	ã1	
康	kʰaŋ1	
廉	niẽ2	
廊	naŋ2	
廓	kuo2	
廖	niau6	
延	iẽ2	
建	tʃiẽ5	
開	kʰua1	
异	i5	
弃	tʃʰi5	
弄	nəŋ6	
弊	pi6	
式	sɿ6	
弓	koŋ1	
引	in3	
弟	ti5	
張	tsaŋ1	
弥	mi2	
弦	ʃyẽ2	
彎	uã1	
弱	iɔ2	
彈	tã2	~琴
彈	tã5	子~，又读
彈	tã6	子~，又读
强	tʃiaŋ2	
强	tʃʰiaŋ3	勉~，倔~
歸	kuei1	
當	taŋ5	
當	taŋ1	~时，应~
录	nu2	
形	ʃin2	
彩	tsʰua3	
彪	piau1	
彬	pin1	
彭	pəŋ2	
影	in3	
役	i2	
徹	tsʰə2	
彼	pi3	
往	uaŋ3	
征	tsəŋ1	
徑	tʃin5	
待	tua6	
很	həŋ3	
律	ny2	
徐	ʃy2	
徒	tu2	
得	tia7	
御	y6	
循	səŋ2	
微	uei1	
徵	tsəŋ1	
德	tia7	名字里出现
德	tə2	道~
徽	huei1	
心	ʃin1	
必	pi2	
憶	i5	
忌	tʃi5	
忍	in3	
志	tsɿ5	
志	tsɿ6	
忘	maŋ6	
忙	maŋ2	
忠	tsoŋ1	
憂	iou1	
快	kʰua5	
念	niẽ6	
忽	fu2	
懷	hua2	
態	tʰa5	
慪	a5	
怕	pʰuo5	
怖	pu5	
憐	niẽ2	
思	sɿ1	
怠	tua6	
急	tʃi2	又读
急	tʃi7	又读
性	sai5	
怨	yẽ5	
怪	kua5	
總	tsoŋ3	
戀	niẽ5	
恐	kʰoŋ3	
恆	həŋ2	
恢	fei1	
恨	həŋ6	
恩	əŋ1	
恭	koŋ1	
息	ʃi2	
恰	tʃʰia2	
懇	kʰəŋ3	
恶	uo7	~霸
恶	u5	恨，可~
惱	nau3	
悄	tʃʰiau1	
悉	ʃi2	
悔	fei3	
悟	u6	
悠	iou1	
患	fã5	
懸	ʃyẽ2	
悲	pei1	
情	tsai2	
驚	kai1	又读
驚	tʃin1	又读
惑	huo2	
惜	sai6	
惟	uei2	
惠	huei5	
懼	tʃy5	
慘	tsʰã3	
懲	tsʰəŋ2	
慚	tsã2	
慣	kuã5	
想	ʃiaŋ3	
惹	nia2	
愁	tʃiou2	
意	i5	
愚	y2	
感	kã3	
憤	fəŋ5	
愧	kʰuei5	
願	yẽ6	
慈	tsʰɿ2	
慌	faŋ1	
愼	səŋ5	
慕	mu6	
慢	mã6	
慧	huei5	
慨	kʰua5	
慰	uei5	
慷	kʰaŋ1	
憋	pie2	
憎	tsəŋ1	
憾	hã6	
懂	təŋ3	
懊	au5	
懶	nã3	
懵	məŋ3	
戈	kuo1	
戊	u6	
戌	ʃy6	
戲	ʃi5	
成	sai2	
我	uo3	
戒	ka5	
或	huo2	
戰	tsã5	
戚	tʃʰi2	
截	tʃie2	
戳	tsʰuo7	
戴	ta5	
戶	fu6	
戽	fu6	
房	faŋ2	
所	suo3	
扁	piẽ3	
扇	sã1	
扇	sã5	
手	ʃiou3	
才	tsua2	刚~
才	tsua2	有~
扎	tsuo5	
扑	pʰu1	
打	tɔ3	
