#漢字	音標	解釋
□	tʂʰua2	一种农事方式，在地里钻个坑，~个窝儿
□	tsɔ2	丧门
□	tʃʰu3	傻傻地站着
□	yə3	别~，歪扭不规整
□	tsʰiɔ2	动作敏捷，~利
□	tʃʰə̃2	垫着，~着纸
□	ɕuã2	塞，~进去
□	na1	大拇指和中指伸直的距离为一~
□	tʂʰua3	寻找，叠音词，~~什么
□	pu1	小孩儿对姑姑的称呼
□	tsʰiəu2	小孩子顽劣、顽皮
□	pa1	屋~
□	tɕʰiəu3	干等，无用的等待
□	ɑŋ2	应答语气词
□	tsɔ1	手扶，~着墙
□	xuŋ1	扔，~了
□	tsʰu1	把带子往里收紧，□裤腰带
□	tɕʰyə3	折断，~断
□	tsʰi3	接近地面或其他事物，意同“□tsʰyə”，~地
□	tsʰyə3	接近地面或者某物，~地
□	liɑŋ3	理踩
□	pʰɛ1	用脚使劲踩压
□	xɛ1	用利器打到对方，~倒，~晕
□	xɔ1	用手拔草，~草
□	mɑŋ1	用脚踹别人
□	luə3	用手抓伤对方
□	tθʰuə3	用手将一堆零散的东西集中到一起，~起来
□	pʰɛ3	用脚使劲踩压
□	kʰuɛ3	用手挠，给我~~
□	mɔ3	用拳头打人
□	xã3	用手拿着，~着
□	tə̃3	用拳头捶打
□	pʰɑŋ3	用脚用力踹别人
□	tsʰu3	皱巴巴的样子，~~
□	kuɛ1	磕碰
□	tsʰuŋ2	粮食果实很实，丰收很大，蹦~
□	ləu1	表示一个人特别吝啬小气，只知道往自己身上揽财，他往家~了不少钱
□	ʃəu3	表示揉面，~面
□	tʰəu3	装在布制袋子里的东西漏了或掉了，~了
□	tʃʰə̃3	食物有沙子，吃起来咯牙
□	ɕuã1	馒头蒸熟后的状态
□	piɑŋ1	骂人话，讨厌的家伙，这个~的
一	i3	
丁	tyŋ1	
七	tsʰi3	
万	uã1	
丈	tsɑŋ2	
三	θã1	
上	sɑŋ2	
下	ɕia2	
不	pu3	
丐	kɛ2	
丑	tsʰəu3	
專	tsuã1	
丕	pʰei1	
世	sɿ2	
丘	tɕʰiəu1	
丙	pyŋ3	
業	iə1	
東	tuŋ1	
絲	θɿ1	
丞	tsʰuŋ2	
丢	tiəu1	
兩	liɑŋ3	
嚴	iã2	
喪	θɑŋ1	
个	kuə1	
个	kə3	
丫	ia1	脚~子
中	tʃuŋ1	
丰	fuŋ1	
串	tsʰuã1	
臨	lin2	
丸	uã2	
丹	tã1	
爲	uei2	
主	tsu3	
麗	li2	
舉	tɕy3	
