#漢字	音標	解釋
䝋	tsoŋ1	
䝼	dʑiŋ2	~受
一	ieʔ7	
丁	tiŋ1	
七	tɕʰieʔ7	
万	ʋᴇ6	
丈	dʑiɔ̃6	
三	sᴇ1	
上	dʑiɔ̃6	~山
上	ʑiɔ̃6	~面
下	ɦia6	~降,底~
不	pəʔ7	
与	y3	给~
丐	kᴇ5	
丑	tɕʰiɯ3	
專	tɕʏ1	
丕	pʰai1	
世	s5	
丘	tɕʰiɯ1	
丙	piŋ3	
業	neʔ8	
東	toŋ1	
絲	s1	
丞	dʑiŋ2	
丢	tiɯ1	
兩	liɔ̃3	~个
兩	liɔ̃3	几斤几~
嚴	ni2	
喪	sɤ̃1	~事
喪	sɤ̃5	~失
个	ko5	~人
个	koʔ7	一~人
个	ki5	近指代词
丫	ia1	~头
中	tɕʰioŋ5	射~
中	tɕioŋ1	当~
丰	hoŋ1	
臨	liŋ2	
丸	ɦʏ2	
丹	tᴇ1	
爲	ʋai6	~什么
爲	ʋai6	作~
主	tɕy3	
麗	li6	
舉	tɕy3	
乃	nᴇ3	
久	tɕiɯ3	
義	ni6	
烏	ʋu1	
乏	ʋəʔ8	
樂	noʔ8	快~
樂	ŋoʔ8	音~
喬	dʑiɔ2	
乖	kue1	
乘	dʑiŋ2	
乙	ieʔ7	
九	tɕiɯ3	
乞	tɕʰieʔ7	
習	ʑieʔ8	
鄉	ɕiɔ̃1	
書	ɕy1	
買	mᴇ3	
亂	lʏ6	
乳	ɕy3	
乾	dzi2	~坤
了	liɔ3	~解,~结
爭	tsʌŋ1	
事	z̩6	
二	əɫ6	
于	ɦy2	姓,~此
虧	kʰuai1	
云	ioŋ1	
互	ʋu6	
五	ʋu3	
井	tɕiŋ3	
亞	ia3	
些	ɕieʔ7	
亡	ʋɤ̃2	
交	tɕiɔ1	
亥	ɦᴇ6	
亦	ɦieʔ8	
產	tsʰᴇ3	
亨	hʌŋ1	
亨	ŋʌŋ1	
畝	mo3	
享	ɕiɔ̃3	
京	tɕiŋ1	
亭	diŋ2	
亮	liɔ̃6	
親	tɕʰiŋ1	~切,~家
人	ʑioŋ2	
億	i5	
什	ʑyøʔ8	~物
仁	ʑioŋ2	
僅	dʑiŋ2	
仆	pʰoʔ7	~倒,~人
仇	dziɯ2	
仇	dziɯ2	姓
今	tɕiŋ1	
介	tɕie5	
仍	ʑiŋ2	
从	dzoŋ2	跟~
仑	lʌŋ2	
倉	tsʰɤ̃1	
仕	z̩6	
他	tʰa1	
仗	tɕiɔ̃5	
付	fu5	
仙	ɕi1	
代	dᴇ6	
以	i3	
儀	ni6	
仰	niɔ̃3	
仲	dʑioŋ6	
件	dzi6	
價	tɕia5	
任	ʑioŋ6	姓,责~
份	ʋʌŋ6	几~
仿	fɤ̃3	~效,~似,~佛
伊	i1	
伍	ʋu3	
伏	ɦoʔ8	三~天
伐	ʋəʔ8	
休	ɕiɯ1	
衆	tɕioŋ5	
優	iɯ1	
伙	ho3	
會	kuai5	~计
會	ʋai6	开~,~不~
傘	sᴇ3	
偉	ʋai6	
傳	dʑʏ2	~达
傳	dʑʏ6	~记
傷	ɕiɔ̃1	
僞	ʋai6	
伯	poʔ7	
估	ku1	
伴	bʏ6	
伶	liŋ2	
伸	ɕiŋ1	
伺	z̩2	
似	z̩6	
佃	di6	
但	dᴇ6	
位	ʋai6	
低	ti3	
住	dʑy6	
佐	tsu3	
佑	ɦiɯ6	
體	tʰi3	
何	ɦo2	
余	y1	
佛	ʋəʔ8	
佛	fəʔ7	仿~
作	tsoʔ7	工~
佞	niŋ6	
你	ni3	
佩	bai6	
佳	tɕia1	
使	s3	
侄	dʑieʔ8	
侉	kʰua1	
例	lᴇ6	
侍	z̩6	
供	koŋ1	~给,~不起
供	koŋ5	~养,上~
依	i1	
僥	iɔ3	
偵	tɕiŋ1	
側	tsʰəʔ7	
僑	dʑiɔ2	
儂	noŋ2	
侮	ʋu3	
侯	ɦɛu6	
侵	tɕʰiŋ5	
便	bi6	~宜
便	bi6	方~
促	tsʰoʔ7	
俄	ŋo2	~罗斯
俊	tɕioŋ5	
俗	dzoʔ8	
俘	fu1	
保	pɔ3	
信	ɕiŋ5	
儼	ni2	
儉	dzi6	
修	ɕiɯ1	
俯	fu3	
俱	dʑy6	
俸	ɦoŋ6	
倍	bai6	
倒	tɔ5	~水
