#漢字	音標	解釋
㓤	kiaɡ7	【替字】生氣。～氣走，悻悻地離開。
㓷	nji5	
㗿	ho3	【替字】①哈哈笑。～～笑。②主張、要求。～倒來，要求來。先～先贏，誰先主張誰先贏。
㚁	hiau5	【替字】翹。本字爲「翹」。～起。
㧍	banɡ1	拉、拔。
㧹	eb7	【替字】打。～一拳。
㨳	ɡe2	【替字】挑輕的擔子。～麼个，背着什麼。toŋ2 toŋ2～～，擔子輕而搖搖晃晃。
㩘	nji5	
㬹	zanɡ1	手肘腳跟。
㰤	ho2	【替字】捕魚的網。張～，用網捕魚。闊啜～，寬魚網。
㰰	hab7	【重定向】哮喘。～徵，哮喘。抽烏面～，哮喘至面色發白。nen5～，自幼哮喘。
㰳	ed8	【替字】象聲詞。打嗝。打～tuk7。
㷮	zau1	【重定向替字】乾燥。
㾑	hab7	【替字】本字爲「㰰」。哮喘。～徵，哮喘。抽烏面～，哮喘至面色發白。nen5～，自幼哮喘。
㾕	fin1	【替字】本字應是「痕」。長條劃痕。
䈪	ɡaɡ7	一種籃子。籮～，魚叉籃子。伙食～，帶重疊貨架的食品籃。sia1～，丈夫送給未婚妻的裝飾籃子。
䢍	fanɡ3	【替字】因故失敗、損耗，原文寫逃脫、跳脫，誤。～撇了，耗掉了。
䢍	fanɡ5	【替字】邊界。過～，過界。
䶗	ka1	【替字】本字可能是「訶」。嚴厲責備、恐嚇。～kʰau5人，嚴厲的話責備人。～了佢，恐嚇了他。咹樣話正～得佢倒，這樣說才能讓他理解。
䶗	kad7	①【替字】～人，侮辱、謾罵人。②【替字】lat7 lat7～～，崎嶇不平。
一	id7	
丁	den1	
丂	kau3	
七	cid7	
万	van5	
丈	cʰonɡ5	
三	sam1	
三	sam5	
上	sʰonɡ1	
上	sʰonɡ3	
上	sʰonɡ5	
上	sonɡ5	
上	honɡ5	①【替字】本字應是「抗」。起、舉。～牀，起牀。～起頭顱，擡起頭。②上面。桌～。外～，外面。
下	ha1	①由高往低處去。～嵊，下坡。②低處。～背，下面。③做、投入精力。～苦，捱苦幹活。④空間名詞後綴。屋～，家。天～，宇宙、中國。
下	ha3	①弄下來、弄出來。～時辰鐘，把鐘拿下來。～藥，開藥。～nen5，催乳。②動物生育。～子，生子。③損害。～人个面，損人使其難堪。
下	ha5	①次等。～流。～價，低價。～男/～女，僕人。②次、陣子。一～，一次。成～子，有時。③時間、副詞後綴。後～，然後。同～，一起。④完成。做～了，做完了。⑤下一個。～擺，下次。⑥低處。～面。⑦做、投入精力。～手。
不	bud7	
丐	ɡoi5	
丑	zʰu3	
丑	cʰiu3	
且	cia3	
丕	pi1	
世	sʰii5	
世	sʰe5	
丘	kiu1	
丘	hiu1	
丙	bianɡ3	
丞	sʰin2	
丟	diu1	
兩	lionɡ1	
丟	diu1	
並	bin5	
並	pin3	
丫	a1	
