#漢字	音標	解釋
㧩	pʰa3	用手轻轻拨开
䈙	dze6	叠
一	iʔ7	
丁	tin1	
万	uæ̃7	
丈	dzɑŋ6	
下	ʑiɑ6	文读
下	ɣuo6	白读
不	pəʔ7	
丐	ka5	
丑	tsʰe3	
專	tɕyʊ̃1	
且	tɕʰie3	
丘	tɕiɷ1	
東	toŋ1	
丟	tiɷ1	
兩	liẽ3	
喪	sɑŋ5	～失
中	tsoŋ5	打～
串	tɕʰyʊ̃5	
丹	tæ̃1	
丽	li6	
舉	tɕy3	
烏	u1	
乎	xu1	
乏	fɑ1	
乓	pʰɑŋ1	
喬	dʑiʌ2	
乖	kua1	
乞	tɕieʔ7	
也	a3	白
也	ie3	文读
習	ʑiʔ8	
書	su1	
買	ma3	
亂	lʊ̃6	
了	liʌ3	
二	ər6	
于	y2	姓
于	y6	
亏	kʰue1	
云	yn2	
五	u3	
井	tɕin3	
些	ɕiɑ1	
亢	kʰɑŋ5	
交	tɕiʌ1	
產	tsʰæ̃3	
亨	xɛ̃1	
亭	din2	
亮	liẽ6	
親	tɕʰin1	
人	iɛ̃2	
今	tɕin1	
仑	lɛ̃2	
他	tʰʌ1	白读
付	fu5	
代	da6	
令	lin6	
仰	ȵiẽ3	
休	ɕiɷ1	
优	iɷ1	
會	ɣue6	
偉	ue3	
傳	dʑyʊ̃2	
伴	bʊ̃6	
低	ti1	
体	tʰi3	
何	ɣɷ2	
你	ȵiɪ̃3	
儘	tɕyn3	
侯	ɣe1	
便	biɪ̃2	～宜
便	biɪ̃6	方～
促	tsʰoʔ7	
俄	ŋɷ2	
俗	zoʔ8	
倍	be6	
借	tɕiɑ5	
倪	ȵi2	
假	tɕyo3	白读
做	tsɷ5	
健	dʑiɪ̃6	
偶	ŋe3	
傀	kua3	
傲	ŋʌ5	
傻	sɑ3	
儴	nɑŋ5	中间低陷：低凹处
儿	ər2	
允	yn3	
元	yʊ̃2	
先	ɕiɪ̃1	
光	kuɑŋ1	
光	kuɑŋ5	～火
克	kʰəʔ7	
免	miɪ̃3	
兔	tʰu5	
党	tɑŋ3	
入	yəʔ8	
八	pɑʔ7	
六	loʔ8	
蘭	læ̃2	
共	ɡoŋ6	
關	kuæ̃1	
興	ɕin5	高～
兵	pin1	
其	dʑi2	
具	dʑy6	
養	iẽ4	
內	ne6	
岡	kɑŋ1	
再	tsa5	
冒	mʌ6	
寫	ɕiɑ3	
軍	tɕyn1	
農	noŋ2	
冤	yʊ̃1	
况	kʰɑŋ2	
冷	lɛ̃3	
凍	tʰoŋ5	
准	tɕyɛ̃3	
几	tɕi3	
凡	væ̃2	
凱	kʰa3	
凳	tɛ̃5	
凶	ɕioŋ1	
出	tɕʰyəʔ7	
刀	tʌ1	
刁	tiʌ1	
分	fɛ̃1	
刊	kʰʊ̃3	
划	uo6	白读
劉	lɷ2	
則	tsəʔ7	
創	tɕʰyɑŋ5	
判	pʰʊ̃5	
刮	kuɑʔ7	
到	tʌ5	
刷	ɕyɑʔ7	
剁	tɷ5	
削	ɕiɑʔ7	
前	ʑiɪ̃2	
剖	pʰe3	
辦	bæ̃6	
功	koŋ1	
加	tɕiɑ1	
助	dzu6	
努	nɷ3	
勞	lʌ2	
勋	ɕyn1	
勒	ləʔ8	
勾	ke1	
包	pʌ1	
匆	tsʰoŋ1	
匋	dʌ2	
化	xuo5	
匡	kʰɑŋ1	
匣	ɣɑʔ8	
匪	fe3	
區	tɕʰy1	
區	ŋe1	姓
