#漢字	音標	解釋
□	kʰu1	~擦:刮削
□	xu1	~脸
□	ȵiaŋ2	~花
□	ku3	~搐:收缩
□	ua3	~面
□	kʰuɛ3	~痒痒
□	ʂuaŋ3	使整齐
□	ʂuẽ2	害羞
□	ȵia3	对母亲的称呼
□	tʂʰua3	强取，如:~过来
□	ləŋ1	很
□	kaŋ2	很
□	ʐɛ3	扔的意思
□	tɕʰyə3	折断
□	ʂa5	挑出来
□	tʂaŋ2	添加
□	ɚ3	理睬
□	ʐəu1	甩动鞭子
□	iŋ3	讨厌
□	ʐʅ1	象声词，形容鸟飞的声音
□	pia1	象声词，多形容鞭子的抽打声
□	pʰia1	象声词
一	i1	
丁	tiŋ1	
七	tɕʰi1	
万	uã5	
丈	tʂaŋ5	
三	sã1	
上	ʂaŋ5	
上	ŋaŋ5	在桌子~白
下	ɕia5	
不	pu1	
与	y3	
丐	kɛ5	
丑	tʂʰəu2	
丑	tʂʰəu3	
專	tʂuã1	
且	tɕʰiə1	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	piŋ3	
業	iə5	
叢	tsʰuŋ2	
東	tuŋ1	
絲	sɿ1	
丞	tʂʰəŋ3	
丟	tiəu1	
兩	liaŋ3	
嚴	iã2	
喪	saŋ1	~事
喪	saŋ5	~失
个	kə5	
丫	ia1	
中	tʂuŋ1	~间
中	tʂuŋ5	~奖
丰	fəŋ1	
串	tʂʰuã5	
臨	liẽ2	
丸	uã2	
丹	tã1	
爲	uei2	
主	tʂu3	
麗	li5	
舉	tɕy3	
乃	nɛ3	
久	tɕiəu3	
義	i5	
之	tʂʅ1	
烏	u1	
乍	tʂa5	
乎	xu1	
乏	fa2	
樂	luə5	
樂	iɔ5	白
樂	yə5	音~
乒	pʰiŋ1	
乓	pʰaŋ1	
喬	tɕʰiɔ2	
乖	kuɛ1	
乘	tʂʰəŋ2	~法
乙	i3	
乜	ȵiə5	
九	tɕiəu3	
乞	tɕʰi3	
也	iə3	
習	ɕi2	
鄕	ɕiaŋ1	
書	ʂu1	
買	mɛ3	
亂	luã5	
乳	lu3	白
乾	tɕʰiã2	
了	liɔ3	~解
予	y3	
爭	tʂəŋ1	
事	ʂʅ5	
二	ɚ5	
于	y2	
虧	kʰuei1	
雲	yẽ2	
互	xu1	
五	u3	
井	tɕiŋ3	
亞	ia5	
些	ɕiə1	
亟	tɕi2	
亡	uaŋ2	
亢	kʰaŋ5	
交	tɕiɔ1	
亥	xɛ5	
亦	i5	
產	tʂʰã3	
亨	xəŋ1	
畝	mu3	
享	ɕiaŋ3	
京	tɕiŋ1	
亭	tʰiŋ2	
亮	liaŋ5	
親	tɕʰiẽ1	
褻	ɕiə5	
人	ʐẽ2	
億	i5	
什	ʂẽ2	
仁	ʐẽ2	
僅	tɕiẽ3	
仆	pʰu3	
仇	tʂʰəu2	~恨
仇	tɕʰiəu2	姓
今	tɕiẽ1	
介	tɕiɛ5	
仍	ʐəŋ3	
从	tsʰuŋ2	
仑	luẽ2	
倉	tsʰaŋ1	
仔	tsɿ3	~细
仕	ʂʅ5	
他	tʰa3	
他	tʰa1	其~
仗	tʂaŋ5	
付	fu5	
仙	ɕiã1	
代	tɛ5	
令	liŋ5	
仨	sa1	
儀	i2	
們	mei2	白
仰	iaŋ3	
仲	tʂuŋ1	
件	tɕiã5	
價	tɕia5	
任	ʐẽ5	~务
任	ʐẽ2	姓
份	fẽ5	
仿	faŋ3	
企	tɕʰi2	
伉	kʰaŋ5	
伊	i1	
伍	u3	
伏	fu2	
伐	fa2	
休	ɕiəu1	
衆	tʂuŋ5	
優	iəu1	
伙	xuə3	
會	xuei5	
會	kʰuɛ5	~计
傘	sã3	
偉	uei3	
傳	tʂʰuã2	~说
傳	tʂuã5	~记
伢	ia2	
傷	ʂaŋ1	
倫	luẽ2	
僞	uei3	
伯	pə2	
估	ku3	
伴	pã5	
伸	tʂʰẽ1	白
伺	tsʰɿ5	~候
伺	sɿ5	~机
似	sɿ5	
似	ʂʅ5	
佃	tiã5	
但	tã5	
位	uei5	
低	ti1	
住	tʂu5	
佐	tsuə3	
佑	iəu5	
體	tʰi3	
何	xə2	
佘	ʂə1	
余	y2	
佛	fə2	
作	tsuə1	
佝	kəu1	
佟	tʰuŋ2	
你	ȵi3	
佣	yŋ1	~金
佣	yŋ5	~人
佩	pʰei5	
佬	lɔ3	
佳	tɕia1	
使	ʂʅ3	
侃	kʰã3	
侄	tʂʅ2	
侈	tʂʰʅ3	
例	li5	
供	kuŋ5	
依	i3	~靠
依	i1	按照
俠	ɕia2	
侶	ly3	
僥	tɕiɔ3	
偵	tʂẽ1	
側	tʂɛ1	~歪白
側	tsʰə5	文
僑	tɕʰiɔ2	
侮	u1	
侯	xəu2	
侵	tɕʰiẽ3	
便	pʰiã3	~宜
便	piã5	方~
促	tsʰu5	
俄	ŋə2	
俊	tɕyẽ5	
俎	tsu3	
俏	tɕʰiɔ5	
俑	yŋ3	
俗	su2	
俗	ɕy2	~套白
俚	li3	
保	pɔ3	
信	ɕiẽ5	
倆	lia3	
儉	tɕiã3	
修	ɕiəu1	
俺	ŋã3	
倌	kuã1	
倍	pei5	
倒	tɔ5	~水
倒	tɔ3	打~
倔	tɕyə5	
倘	tʰaŋ3	
候	xəu5	
倚	i3	
借	tɕiə5	
倡	tʂʰaŋ5	
倦	tɕyã5	
倩	tɕʰiã5	
倭	uə1	
債	tʂɛ5	
値	tʂʅ2	
傾	tɕʰyŋ1	~斜白
傾	kʰəŋ3	~翻白
傾	tɕʰiŋ3	文
假	tɕia3	
偎	uei1	
偏	pʰiã1	
做	tsuə5	文
做	tsəu5	白
停	tʰiŋ2	
健	tɕiã5	
偶	ŋəu3	
偸	tʰəu1	
僂	ləu3	
償	tʂʰaŋ2	
傀	kʰuei2	
傍	paŋ5	
催	tsʰuei1	
傲	ŋɔ5	
傻	ʂa3	
僧	səŋ1	
僵	tɕiaŋ1	
僻	pʰi5	
儒	lu2	白
兒	ɚ2	
允	yẽ3	
元	yã2	
兄	ɕyŋ1	
充	tʂʰuŋ1	
兆	tʂɔ5	
先	ɕiã1	
光	kuaŋ1	
克	kʰə1	新
免	miã3	
兌	tei5	
兌	tuei5	文
兔	tʰu5	
黨	taŋ3	
兜	təu1	
入	lu5	白
全	tɕʰyã2	
八	pa1	
公	kuŋ1	
兮	ɕi1	
蘭	lã2	
共	kuŋ5	
關	kuã1	
興	ɕiŋ1	~旺
興	ɕiŋ5	高~
兵	piŋ1	
其	tɕʰi2	
具	tɕy5	
典	tiã3	
兹	tsɿ1	
養	iaŋ3	
兼	tɕiã1	
獸	ʂəu5	
冀	tɕi5	
內	nei5	
岡	kaŋ3	
冉	ʐã3	
冊	tʂʰɛ1	文
冊	tsʰə5	文
再	tsɛ5	
冒	mɔ5	
冕	miã3	
寫	ɕiə3	
軍	tɕyẽ1	
農	nuŋ2	
冠	kuã5	~军
冠	kuã1	鸡~子
冢	tʂuŋ3	
冤	yã1	
冥	miŋ2	
冬	tuŋ1	
馮	fəŋ2	
冰	piŋ1	
冲	tʂʰuŋ1	~走
冲	tʂʰuŋ5	脾气~
決	tɕyə1	
況	kʰuaŋ5	
冶	iə1	
冷	ləŋ3	
凍	tuŋ5	
淨	tɕiŋ5	
凄	tɕʰi1	
準	tʂuẽ3	
涼	liaŋ2	
凋	tiɔ1	
凌	liŋ2	
減	tɕiã3	
湊	tsʰəu5	
凜	liẽ3	
凝	ȵiŋ2	
几	tɕi3	~个
几	tɕi1	茶~
凡	fã2	
鳳	fəŋ5	
凭	pʰiŋ2	
凱	kʰɛ3	
凳	təŋ5	
凶	ɕyŋ1	
凸	tʰu1	
凹	ua1	
出	tʂʰu1	
擊	tɕi1	
函	xã2	
鑿	tsɔ2	
刀	tɔ1	
刁	tiɔ1	
刃	ʐẽ5	
分	fẽ1	
切	tɕʰiə1	
刊	kʰã1	
刎	uẽ3	
刑	ɕiŋ2	
划	xua5	
划	xua2	~船
列	liə5	
劉	liəu2	
則	tsə2	文
則	tʂɛ1	白
剛	kaŋ1	文
創	tʂʰuaŋ5	
初	tʂʰu1	
刪	ʂã1	
判	pʰã5	
