#漢字	音標	解釋
□	tsʰuŋ3	1~也:轻松，容易
□	aŋ3	
□	tʃʰə1	~子:没话找话说
□	kə1	~了人:声音杂，使人厌
□	pu1	~拉:翻弄
□	sa2	~么:偷偷地查看
□	tʂʰa2	~乎:手常出现病态的抖动
□	ka2	~子:鱼腮
□	ka2	~气:把胃里的气咯出
□	xa2	~斯:颤抖
□	cia2	~~.一种小鸟
□	tʂʰu2	~子把:生手、从没干过
□	tsʰiəu2	~障子:积树丛
□	tʂʰə̃2	~子:小鸟
□	xaŋ2	~央子:提议和别人干某件事
□	pʰa3	~牯:公牛
□	ʃə5	~面:揉面
□	mi5	~了，量、比划
□	i5	~窝:使人感到脏、窝囊
□	ku5	~也:乱动
□	pʰɛ5	~子:脏
□	kʰɔ5	~油:把食油烧热
□	kʰɔ5	~鱼:小海鱼干
□	tsʰã5	~么:讽刺、挖苦
□	ʂuã5	~草:把苫屋用的草抽理整齐
□	tʃʰuã5	~人:用打比方、讲故事来捉弄人
□	ʂə̃5	~牛:公牛
□	tʂuɛ1	丁儿:萝卜~子
□	la5	不是的(有厌恶之意)
□	mɔ1	与侉音相对的口音
□	tsʰei2	任凭怎么做都行
□	ʋei1	使烤火炉中热灰集中
□	nɔ2	光着:赤头~脚
□	ka2	划:~洋火
□	tʃə2	压住使物品平整:~衣服
□	pʰɛ1	双腿瘫痪
□	siə̃2	另嫁:她~人家了
□	çyã5	吃
□	kuɛ1	吱~子:纺织娘，夏秋季的昆虫
□	çiã3	哭
□	suŋ3	嘲讽:三嘲二~
□	xɛ1	在集市上偷东西
□	xə1	地方:在这~了
□	tsei1	堆:一~起来
□	lyŋ3	堆:一〜稻子
□	saŋ3	塞:~满了
□	luŋ1	大忽~:随大流l
□	pʰu3	大~的:放心、大胆
□	tʂʰɛ1	嫁接、杂交:~驴
□	su3	害~乎的:害怕、惨不忍睹
□	tʂʰei2	小~:小鸟
□	tsʰiã5	小坝:拦~
□	kʰə̃5	尿~:尿碱
□	kʰa2	帽~:帽舌
□	cʰia2	干不~~的:干、水份少
□	kuei1	弯腰:~腰
□	kʰəu2	很，厉害
□	kaŋ3	很:~好了
□	tɛ3	态度生硬地猛拽:一~
□	xuɛ3	态度生硬猛地一拉
□	cʰiaŋ5	态度蛮横
□	la5	急走:连跑加~
□	niã1	总是埋怨，使人生厌
□	xə̃5	扔，丢:把东西~了
□	tʃʰuə1	扫、抹:~桌子
□	tsʰiaŋ5	扶起来:把他~起来,不要挺在地上
□	tʂuaŋ3	把成根的东西弄叠齐
□	ʂuaŋ3	把柄往地上撞，使锹等工具的柄楔牢
□	tʃəu1	拧:~断了
□	tsuə3	捏:~着
□	tʂʰə̃2	撑:~破了
□	çiə3	敞开:~怀
□	tʂuaŋ2	整齐:整~的
□	tʂuɛ1	木质圆锥形玩具
□	mə̃1	木质朽了:棒~子
□	cʰiəu3	朽:木头~了
□	nuŋ5	水加多了:面〜了
□	tʰɛ3	清闲自在:~起来了
□	tʃə̃5	澄清:~水
□	tʃʰɔ3	炒面
□	xuŋ1	烂:地瓜煮得很~
□	tsʰiã5	犁耙上位牵引用的皮绳
□	tsʰua1	猛地抓住:~个蝴蝶
□	pʰɛ1	猛地坐下去:一腚~下去
□	tʰu1	用开水烫:~鸡
□	tɔ1	用筷子夹
□	kʰə2	用一条腿蹦
□	tʃʰy3	用铁锨铲起:~沙
□	pei3	用筷子拨出
□	tʰə̃3	用脚在泥里踩:~泥
□	kʰaŋ3	用头抵:牛~人了
□	tsʰiaŋ3	用铲子铲起
□	kʰə̃5	用双手指住:~着活鱼
□	kuɛ1	碰人、打人:不要〜他
□	ka2	磨擦:把锈~去
□	tsʰɔ5	磨擦:放沙里~~
□	pɛ3	稍微洗一下.~手
□	ʂuã2	突出、数得着:~你了
□	cy1	粘住、靠紧
□	tʂʰu1	缩小
□	cyə5	翘起
□	kʰa2	翻扣:〜碗
□	u1	被按在水里闷死:不要~人
□	çyã5	装:~枕头
□	tsʰəu1	让风吹干
□	tsʰa1	说、谈:~呱
□	ʃə5	说谎、吹牛
□	tʂuɛ1	走路时摇摆:一~一~的
□	tʂʰɔ5	跨过障碍物
□	tsʰaŋ5	蹭:~了一身灰
□	cʰiə1	躺下
□	tsua2	轻轻地扫:~地
□	tʃʰuə1	边飞边捕食:蚊子让小燕~吃了
□	tʂʰuŋ5	迷途:鸡~哪去了
□	sɔ5	速度快
□	n̩5	那:在~里
□	kʰɛ5	都不想自做而靠别人
□	tʂɛ5	钉子、钉:洋〜子，~住了
□	ʂa5	锯去多余的枝条:~树
□	xu1	靠:~靠他
□	cʰia2	靠武力抢夺
